time,entropy_1,entropy_3,entropy_10
2021-11-06 21:44:35,12.613298957688745,12.613955291801895,12.682696927417055
2021-11-11 21:44:15,12.5831745291994,12.60089204219626,12.688493790306344
2021-11-16 21:44:14,12.57149569857516,12.600818122235832,12.700713994274825
2021-11-21 21:44:23,12.57517202619593,12.609511472886677,12.715226806714996
2021-11-26 21:43:39,12.585199337077968,12.620393226268783,12.725628937940735
2021-12-01 21:44:40,12.597220751170488,12.63533088931054,12.737164694140397
2021-12-06 21:44:50,12.59864456875584,12.657783134539354,12.75214044111108
2021-12-11 21:43:57,12.619402846884691,12.684928500666162,12.770765150354036
2021-12-16 21:43:58,12.663529269389263,12.699016027520706,12.79413975809424
2021-12-21 21:44:45,12.687077030146623,12.708508343623793,12.811927995684352
2021-12-26 21:44:36,12.679262679238764,12.717948353164989,12.481231569518872
2021-12-31 21:44:46,12.68269166450799,12.71550439107645,12.48656104146314
2022-01-05 21:44:40,12.710326628990927,12.729646645850211,12.504796605678964
2022-01-10 21:44:33,12.698870360510169,12.743478098290076,12.50377245032563
2022-01-15 21:44:03,12.70371857147714,12.760241812180205,12.497316319060372
2022-01-20 21:44:38,12.730267329742578,12.791758384726354,12.48881121913732
2022-01-25 21:44:50,12.723344226020693,12.79945596004604,12.47123714096126
2022-01-30 21:44:31,12.765484152877605,11.750023818507286,12.467025111509813
2022-02-04 21:44:26,12.806321260394752,11.751009737727674,12.46568810703506
2022-02-09 21:44:03,10.711345055871222,11.788783683488829,12.46710931565868
2022-02-14 21:44:31,10.682193444790355,11.776766192867631,12.456514682043627
2022-02-19 21:44:23,12.817147451881024,12.80378649266786,12.7912332741812
2022-02-24 21:44:29,12.804058312019228,12.778547206449012,12.76802330234481
2022-03-01 21:44:42,12.718826010458388,12.71160652158638,12.728912233718006
2022-03-06 21:44:45,12.685166010330772,12.693596254990556,12.702356488566847
2022-03-11 21:44:47,12.646070315211896,12.68834440779235,12.67934707643692
2022-03-16 21:44:08,12.623285205554636,12.683192279622777,12.653046643519556
2022-03-21 21:44:10,12.659733729931432,12.671171267901636,12.630805041003892
2022-03-26 21:43:35,12.654813988168463,12.643959234861397,12.610384409713772
2022-03-31 21:44:35,12.578661707370491,12.58957373623497,12.590983591820857
2022-04-05 21:44:35,12.577498397801625,12.57587820459906,12.59476146154339
2022-04-10 21:44:42,12.550748039955138,12.562797185198349,11.286682117894252
2022-04-15 21:44:42,12.535162432546317,12.560289231165504,11.283083651376414
2022-04-20 21:44:48,12.536501259340833,12.5654402014673,11.287432352638294
2022-04-25 21:44:50,12.54847199566313,12.549099614550716,11.286540649237391
2022-04-30 21:44:36,12.556659550215286,12.55012464418556,11.293102206691644
2022-05-05 21:44:43,12.51200465569375,12.544414049578137,11.290133151481346
2022-05-10 21:44:32,12.505788495257642,12.56720680258485,11.300256156282185
2022-05-15 21:44:36,12.53373469352537,9.40841767721169,11.304530682095052
2022-05-20 21:43:05,12.581859944280962,9.41103086255976,11.305503531870986
2022-05-25 21:44:42,7.590670836450314,9.408223216563089,11.304279422100176
2022-05-30 21:44:47,7.595400378572327,9.394642304799232,11.302727966916454
2022-06-04 21:44:08,12.53743741609107,12.56748801358222,12.664911773398993
2022-06-09 21:44:47,12.543834064636174,12.579149308318094,12.67713824338949
2022-06-14 21:44:35,12.550378108532811,12.641549268526008,12.68942066508071
2022-06-19 21:44:39,12.568309254844474,12.671740546495707,12.69287573105052
2022-06-24 21:44:28,12.670264085915168,12.673368109455785,12.69168424321377
2022-06-29 21:44:42,12.707474131099264,12.686898999927752,12.693140731840732
2022-07-04 21:43:31,12.624459380049933,12.64339650354836,12.672678443474648
2022-07-09 21:44:45,12.592272705808972,12.634894695778511,12.664320456210431
2022-07-14 21:43:19,12.618872045757064,12.656925925696886,12.669236587534035
2022-07-19 21:42:55,12.641936907954571,12.6821816935638,12.67435672386024
2022-07-24 21:44:11,12.652858271029368,12.664254366909326,12.671349669025464
2022-07-29 21:44:03,12.682681131344372,12.652489700097084,12.673106513498816
2022-08-03 21:44:08,12.63444252979076,12.632413603174786,12.668635365041483
2022-08-08 21:44:40,12.58138692547868,12.614329350364878,12.660603314961506
2022-08-13 21:44:34,12.593204701188222,12.62188112203848,12.66451703845164
2022-08-18 21:44:40,12.611310033170144,12.63438163768389,12.665830064657143
2022-08-23 21:44:31,12.614183890143511,12.650765292932023,12.666530265898668
2022-08-28 21:42:34,12.619724655025598,12.649694533607988,12.66148680865478
2022-09-02 21:43:32,12.652062089456496,12.666444547342168,12.664453861949466
2022-09-07 21:44:17,12.643701384302728,12.659043270512225,12.662187144358995
2022-09-12 21:44:46,12.645790725719715,12.644981808266277,12.658457498444657
2022-09-17 21:43:59,12.632684506117842,12.63773302822425,12.656639738809105
2022-09-22 21:44:42,12.5983110876322,12.620038067420923,11.03759160563281
2022-09-27 21:44:27,12.60257070469008,12.618521594996889,11.033961595028204
2022-10-02 21:44:08,12.603091937755677,12.612636076649038,11.033066508652864
2022-10-07 21:43:49,12.597141849017133,12.616864335416492,11.037912238395602
2022-10-12 21:44:14,12.584115271609782,12.622617710387887,11.042323940628451
2022-10-17 21:44:25,12.596827189511574,12.62997683389086,11.045684290561592
2022-10-22 21:43:10,12.625037480751988,12.64350501364322,11.052146608777145
2022-10-27 21:43:42,12.624312161456997,8.938192396921055,11.053189324385158
2022-11-01 21:44:17,12.62358286768717,8.926615458484527,11.059324389804452
2022-11-06 21:44:20,7.081927781911912,8.913019947889229,11.06268863951869
2022-11-11 21:44:05,7.0560166039611385,8.917702135347591,11.066357051279606
2022-11-16 21:44:19,12.64540216897358,12.69171507339181,12.745484267508669
2022-11-21 21:44:07,12.681621756757268,12.708759917939464,12.752313021008526
2022-11-26 21:44:27,12.685072042137865,12.708845986008027,12.755427128226032
2022-12-01 21:42:36,12.688178376293845,12.715966516602151,12.76018123299111
2022-12-06 21:43:47,12.689884755605048,12.73056275699983,12.763849665005978
2022-12-11 21:44:32,12.707025733841624,12.736313884520872,12.769869853547906
2022-12-16 21:44:03,12.731942640296504,12.736197152674816,12.774907905798669
2022-12-21 21:43:24,12.713258907996872,12.72170888213409,12.774738763797412
2022-12-21 22:00:16,12.694613955169878,12.71843450612096,12.777372506435784
2022-12-31 21:43:57,12.692262215196456,12.727415676644068,12.786860765309486
2023-01-05 21:44:42,12.702127282613835,12.74123239166423,12.800078994636724
2023-01-10 21:44:16,12.721683328946176,12.74968007013029,12.81640760032715
2023-01-10 22:00:31,12.740574999200488,12.764305442839262,12.829348932796906
2023-01-20 21:43:39,12.740586861593798,12.772593472397729,12.842902289501897
2023-01-25 21:44:33,12.749263436562323,12.775792998063674,12.85336654123354
2023-01-30 21:44:32,12.765126499313782,12.781165858124613,12.873448779994286
2023-01-30 22:00:35,12.763462246946196,12.791647781190957,12.89015967744682
2023-02-09 21:44:10,12.756096160774824,12.811869294853164,12.901701065651627
2023-02-14 21:44:42,12.78025254133484,12.8378131793759,12.918851430086493
2023-02-19 21:44:32,12.820917140553934,12.857527768393927,12.936491673640736
2023-02-24 21:44:43,12.844034347377567,12.86719630806974,12.95099407510741
2023-03-01 21:44:28,12.844324539813435,12.86990886993715,12.966516216125132
2023-03-06 21:44:06,12.84961739950826,12.891084346174123,12.976401120990928
2023-03-11 21:44:00,12.85976184948186,12.911854242979857,12.992302263630272
2023-03-16 21:44:33,12.888541747281272,12.907903942743957,12.502022008949606
2023-03-21 21:44:26,12.896111605885364,12.915667172153167,12.507644591698131
2023-03-26 21:44:03,12.872024653767491,12.92959566831724,12.535881143465442
2023-03-31 21:44:39,12.893344458446926,12.949893088181229,12.56008589104699
2023-04-05 21:44:28,12.932253890232694,12.983160586392248,12.58150611204418
2023-04-10 21:44:01,12.945831780527158,12.982742001947726,12.59975322726726
2023-04-15 21:44:23,12.985736893948474,13.00482417210122,12.620041558440734
2023-04-20 21:44:03,12.955014075836324,11.490456390788903,12.627192863000523
2023-04-25 21:43:59,12.961755318885476,11.493236468156876,12.637206697525436
2023-04-30 21:43:46,10.142065596656987,11.53545642299616,12.65823383452774
2023-05-05 21:44:08,10.111571721347133,11.543396342497385,12.669352231899904
2023-05-10 21:43:54,13.119882999338166,13.172142123536556,12.669352231899904
2023-05-15 21:44:34,13.162612860580372,13.186611439098645,12.669352231899904
2023-05-20 21:43:20,13.152501806088742,13.202735405916584,12.669352231899904
2023-05-25 21:44:21,13.16524303661466,13.205091263189631,12.669352231899904
2023-05-30 21:44:35,13.207114631454909,13.198682992645429,12.669352231899904
2023-06-04 21:44:48,13.182192774455544,13.194996286276908,12.669352231899904
2023-06-09 21:43:40,13.099757543575477,13.174487545381838,12.669352231899904
2023-06-14 21:44:01,13.146254792218354,13.174487545381838,12.669352231899904
2023-06-19 21:43:55,13.190520371330429,13.174487545381838,12.669352231899904
2023-06-24 21:44:30,13.190520371330429,13.174487545381838,12.669352231899904
